merek,model,tahun,transmisi,bahan_bakar,kilometer,warna,lokasi,harga
Honda,BR-V,2021,Automatic,Bensin,52385.0,Silver,Bali,176000000
Nissan,X-Trail,2008,Automatic,Bensin,127137.0,Hitam,Jakarta,45700000
Toyota,Avanza,2009,Manual,Diesel,253879.0,Merah,Yogyakarta,23700000
Honda,Brio,2016,Manual,Diesel,113323.0,Merah,Yogyakarta,51000000
Honda,Brio,2009,Manual,Bensin,215924.0,Biru,Yogyakarta,18100000
Honda,Brio,2019,Automatic,Bensin,61486.0,Putih,Jakarta,81400000
BMW,Seri 3,2017,Automatic,Bensin,76958.0,Biru,Jakarta,380600000
Suzuki,Ignis,2022,Automatic,Diesel,17408.0,Hitam,Bali,147600000
Toyota,Fortuner,2013,Automatic,Diesel,109522.0,Merah,Medan,125200000
Honda,HR-V,2023,Automatic,Bensin,21872.0,Putih,Makassar,318300000
Mercedes-Benz,C-Class,2016,,,,,Medan,239100000
Honda,Mobilio,2022,Manual,Bensin,30991.0,Putih,Yogyakarta,159100000
Daihatsu,Sigra,2018,Manual,Bensin,91881.0,Merah,Medan,54200000
Toyota,Agya,2022,Manual,Bensin,44036.0,Hitam,Makassar,104700000
Mitsubishi,Triton,2010,Manual,Diesel,303169.0,Biru,Semarang,49300000
Suzuki,Ertiga,2023,Manual,Bensin,18451.0,Silver,Makassar,182100000
Honda,Brio,2009,Automatic,Bensin,131911.0,Hitam,Medan,19300000
Honda,City,2022,Automatic,Bensin,29921.0,Silver,Yogyakarta,247300000
Toyota,Agya,2009,Automatic,Bensin,213772.0,Silver,Bandung,17600000
Toyota,Avanza,2015,Manual,Bensin,165536.0,Biru,Jakarta,52600000
Mitsubishi,Pajero Sport,2021,Automatic,Bensin,60709.0,Hitam,Medan,344200000
Daihatsu,Sigra,2014,Manual,,,,Bandung,36700000
BMW,X5,2013,Automatic,Diesel,220476.0,Biru,Yogyakarta,293800000
Mitsubishi,Pajero Sport,2015,Manual,Bensin,88935.0,Merah,Makassar,157100000
Mercedes-Benz,C-Class,2008,Automatic,Bensin,224767.0,,Surabaya,86300000
Mercedes-Benz,GLA,2008,Automatic,Bensin,139772.0,Putih,Surabaya,94400000
Daihatsu,Ayla,2017,Manual,Bensin,150233.0,Biru,Medan,40000000
Honda,Jazz,2019,Manual,Bensin,85680.0,Putih,Medan,107100000
Suzuki,Ignis,2009,Manual,Bensin,219648.0,Abu-abu,Yogyakarta,17400000
Toyota,Rush,2022,Automatic,Bensin,60319.0,Abu-abu,Semarang,187300000
Toyota,Calya,2008,Automatic,Bensin,255271.0,Merah,Medan,14900000
Toyota,Avanza,2009,Manual,Bensin,198195.0,Biru,Jakarta,25700000
Honda,Jazz,2017,Manual,Bensin,135062.0,Hitam,Bali,71600000
Nissan,Livina,2023,Manual,Bensin,3645.0,Silver,Yogyakarta,199400000
Mitsubishi,Pajero Sport,2009,Matic,Diesel,234274.0,Abu-abu,Jakarta,75500000
BMW,X5,2017,Matic,Bensin,163680.0,Merah,Surabaya,492000000
Suzuki,Ertiga,2012,Manual,Bensin,229030.0,Biru,Medan,34400000
Honda,BR-V,2020,MT,Bensin,77640.0,Abu-abu,Surabaya,126200000
Honda,Mobilio,2008,Manual,Bensin,149204.0,Silver,Makassar,20800000
Honda,City,2022,Manual,Bensin,37698.0,Silver,Bandung,230600000
Mitsubishi,Xpander,2021,Automatic,Bensin,83756.0,Abu-abu,Bali,146100000
BMW,Seri 3,2016,Automatic,Bensin,157612.0,Abu-abu,Semarang,253800000
Toyota,Innova,2017,MT,Bensin,145346.0,Merah,Bali,123800000
Toyota,Yaris,2008,Manual,Bensin,212076.0,Hitam,Semarang,21600000
Honda,CR-V,2015,Automatic,Bensin,128637.0,Silver,Medan,118200000
Mitsubishi,Pajero Sport,2010,Manual,Bensin,268495.0,Abu-abu,Bandung,59800000
Honda,Brio,2016,Manual,Bensin,150923.0,Abu-abu,Bandung,46500000
Daihatsu,Gran Max,2015,Manual,Bensin,186256.0,Abu-abu,Surabaya,35200000
Nissan,Grand Livina,2021,Manual,Diesel,72393.0,Abu-abu,Medan,122100000
Toyota,Rush,2016,,,,,Yogyakarta,70800000
Honda,CR-V,2020,Manual,Bensin,43131.0,Abu-abu,Medan,253300000
Toyota,Fortuner,2015,Automatic,Diesel,112174.0,Silver,Yogyakarta,136700000
Nissan,Grand Livina,2021,Manual,Bensin,40360.0,Abu-abu,Yogyakarta,121300000
Honda,Jazz,2016,Manual,Bensin,137915.0,Hitam,Bali,73600000
Daihatsu,Gran Max,2017,Manual,Bensin,110220.0,Biru,Surabaya,53200000
Daihatsu,Sigra,2015,Manual,Bensin,112578.0,Abu-abu,Semarang,42300000
Nissan,Grand Livina,2008,Automatic,Bensin,206922.0,Hitam,Jakarta,19200000
Daihatsu,Gran Max,2018,Manual,Bensin,56056.0,Putih,Bandung,62900000
Toyota,Fortuner,2014,Automatic,Diesel,83682.0,Merah,Surabaya,164800000
Suzuki,Baleno,2010,Automatic,Bensin,298965.0,Hitam,Bali,28800000
Daihatsu,Ayla,2017,Manual,Bensin,122576.0,Silver,Medan,44000000
Mercedes-Benz,GLA,2013,Automatic,Bensin,164106.0,Putih,Yogyakarta,160800000
Daihatsu,Xenia,2014,,,,,Semarang,42900000
Toyota,Avanza,2014,,,,,Bali,40800000
Toyota,Fortuner,2014,Automatic,Bensin,123900.0,Silver,Yogyakarta,111400000
Toyota,Rush,2018,MT,Bensin,98735.0,Biru,Bali,93700000
Toyota,Calya,2011,Manual,Bensin,205872.0,Abu-abu,Bandung,23300000
Honda,Mobilio,2012,Automatic,Bensin,254262.0,Merah,Semarang,39900000
BMW,X5,2016,Automatic,Bensin,39907.0,Putih,Makassar,515100000
Honda,Jazz,2020,Manual,Bensin,64687.0,Hitam,Surabaya,124000000
BMW,Seri 3,2017,Automatic,Bensin,171314.0,Merah,Makassar,290000000
Honda,HR-V,2009,Manual,Bensin,216359.0,Hitam,Bandung,38200000
Toyota,Fortuner,2012,Manual,Diesel,250873.0,Silver,Surabaya,86100000
Suzuki,Carry,2019,Automatic,Bensin,68998.0,Biru,Makassar,83600000
Honda,Brio,2009,Automatic,Bensin,160080.0,Putih,Semarang,22300000
Daihatsu,Gran Max,2009,Manual,Bensin,237392.0,Biru,Semarang,14300000
Suzuki,XL7,2019,Automatic,Bensin,102694.0,Abu-abu,Semarang,105600000
Daihatsu,Terios,2018,Automatic,Diesel,118900.0,Biru,Medan,98800000
Suzuki,XL7,2014,Automatic,Bensin,120638.0,Hitam,Bandung,64400000
Honda,Jazz,2014,Automatic,Bensin,144355.0,Biru,Bandung,57600000
Honda,Mobilio,2011,Automatic,Bensin,148215.0,Hitam,Semarang,38100000
Daihatsu,Ayla,2023,Automatic,Bensin,8360.0,Hitam,Jakarta,125000000
Mitsubishi,Pajero Sport,2009,Manual,Bensin,129196.0,Putih,Surabaya,67900000
Nissan,Livina,2021,Automatic,Bensin,70260.0,Abu-abu,Yogyakarta,143900000
Daihatsu,Xenia,2008,Automatic,Bensin,185961.0,Silver,Yogyakarta,18600000
Mitsubishi,Xpander,2016,Manual,Bensin,104612.0,Putih,Medan,85600000
Mercedes-Benz,C-Class,2019,Automatic,Bensin,39511.0,Biru,Semarang,489800000
Mercedes-Benz,C-Class,2014,Automatic,Bensin,127439.0,Putih,Surabaya,226000000
Suzuki,Baleno,2021,Manual,Bensin,36591.0,Putih,Bali,133600000
Toyota,Fortuner,2018,Automatic,Diesel,130079.0,Biru,Yogyakarta,225600000
Daihatsu,Gran Max,2009,Manual,Bensin,136542.0,Abu-abu,Jakarta,20300000
Daihatsu,Terios,2016,Manual,Bensin,133188.0,,Jakarta,76400000
Toyota,Rush,2012,Automatic,Bensin,114845.0,Silver,Medan,40800000
Suzuki,Ertiga,2010,Automatic,Bensin,151148.0,Biru,Bandung,32500000
Honda,Brio,2022,Manual,Diesel,40820.0,Abu-abu,Bali,128800000
Honda,Jazz,2015,Manual,Bensin,144275.0,Abu-abu,Surabaya,64600000
Toyota,Avanza,2017,Manual,Bensin,108692.0,Abu-abu,Medan,68600000
Suzuki,Baleno,2008,Automatic,Bensin,107312.0,Silver,Surabaya,27800000
Suzuki,Carry,2012,Manual,Bensin,124793.0,Abu-abu,Bali,23700000
Honda,City,2015,Automatic,Bensin,192870.0,Biru,Bandung,72900000
Toyota,Innova,2022,Automatic,Bensin,42880.0,Abu-abu,Surabaya,326700000
Honda,HR-V,2008,Manual,,,,Semarang,31600000
Daihatsu,Sigra,2022,Manual,Bensin,63903.0,Merah,Semarang,107000000
Daihatsu,Gran Max,2009,Manual,Bensin,254935.0,Silver,Makassar,17300000
Daihatsu,Gran Max,2018,Manual,Bensin,96541.0,Abu-abu,Bali,57400000
Honda,CR-V,2016,Automatic,Bensin,161461.0,Biru,Semarang,146700000
Nissan,X-Trail,2013,Manual,Diesel,143558.0,Silver,Medan,87100000
Daihatsu,Xenia,2012,Manual,Bensin,143746.0,Silver,Yogyakarta,35100000
Toyota,Innova,2022,Manual,Bensin,50454.0,Biru,Jakarta,279200000
Honda,Mobilio,2018,Automatic,Bensin,74323.0,Biru,Yogyakarta,84200000
Mitsubishi,Triton,2009,Automatic,Bensin,191065.0,Merah,Makassar,52300000
Honda,Jazz,2018,Automatic,Bensin,115773.0,Hitam,Yogyakarta,104300000
Mitsubishi,Triton,2020,Automatic,Diesel,64719.0,Putih,Bali,230800000
Nissan,Grand Livina,2023,Automatic,Bensin,13662.0,Biru,Makassar,161800000
BMW,Seri 5,2008,Automatic,Bensin,245957.0,Hitam,Bali,98300000
Toyota,Innova,2021,Automatic,Bensin,88197.0,Abu-abu,Medan,237500000
Toyota,Yaris,2016,Manual,Bensin,152107.0,Hitam,Jakarta,67900000
Mitsubishi,Triton,2017,Automatic,Bensin,80770.0,Putih,Jakarta,172800000
Daihatsu,Gran Max,2008,Manual,Bensin,220646.0,Hitam,Medan,14000000
Toyota,Rush,2010,Manual,Bensin,248287.0,Merah,Semarang,26100000
Suzuki,Ertiga,2017,Manual,Bensin,128387.0,Biru,Semarang,79400000
Toyota,Rush,2020,Manual,Bensin,,,Bandung,131300000
Suzuki,Ertiga,2008,Automatic,Bensin,236767.0,Merah,Bali,23000000
Mercedes-Benz,C-Class,2018,Manual,Bensin,121677.0,Hitam,Yogyakarta,374000000
Honda,Mobilio,2008,Automatic,Bensin,200318.0,Abu-abu,Semarang,21600000
Toyota,Agya,2012,Automatic,Bensin,60543.0,Merah,Makassar,30000000
Honda,City,2020,Manual,Bensin,109604.0,Hitam,Bali,187600000
Honda,Mobilio,2022,Manual,Bensin,68760.0,Hitam,Bandung,132300000
Daihatsu,Xenia,2010,Manual,Bensin,170751.0,Putih,Yogyakarta,23200000
Daihatsu,Gran Max,2013,Manual,Bensin,297132.0,Hitam,Semarang,26100000
Suzuki,Ignis,2022,Manual,Bensin,42945.0,Merah,Bandung,110000000
Honda,City,2022,Manual,Bensin,40547.0,Biru,Yogyakarta,202300000
Honda,BR-V,2021,Automatic,Bensin,24036.0,Hitam,Makassar,164900000
Honda,Jazz,2020,Manual,Bensin,92159.0,Biru,Medan,126600000
Toyota,Calya,2013,Manual,Bensin,215479.0,Merah,Bali,28800000
Suzuki,Ertiga,2019,Automatic,Bensin,78805.0,Putih,Bali,104800000
Honda,Brio,2021,,,,,Yogyakarta,99400000
Daihatsu,Xenia,2009,Manual,Bensin,218619.0,Putih,Bali,21100000
Daihatsu,Sigra,2009,Manual,Bensin,261701.0,Putih,Jakarta,17200000
BMW,Seri 3,2017,Manual,Bensin,174838.0,Abu-abu,Yogyakarta,242700000
Mitsubishi,Pajero Sport,2018,Manual,Diesel,114788.0,Biru,Makassar,191500000
Honda,BR-V,2010,Manual,Bensin,189082.0,Abu-abu,Surabaya,35200000
Honda,Jazz,2010,Manual,Bensin,83223.0,,Bandung,35400000
Toyota,Yaris,2018,Automatic,Bensin,114120.0,Abu-abu,Bali,96500000
Honda,City,2023,Manual,,,,Bandung,236600000
BMW,Seri 5,2018,Automatic,Bensin,84980.0,Silver,Medan,483500000
Toyota,Agya,2021,Automatic,Bensin,58025.0,Hitam,Semarang,92000000
Honda,CR-V,2009,Manual,Bensin,214219.0,Silver,Surabaya,52300000
Suzuki,XL7,2023,Automatic,Bensin,18486.0,Hitam,Surabaya,225700000
BMW,Seri 5,2011,Manual,Bensin,76325.0,Merah,Medan,191700000
BMW,X5,2022,Automatic,Bensin,33783.0,Putih,Jakarta,1169300000
Honda,BR-V,2023,Automatic,Bensin,26828.0,Putih,Bali,250300000
Nissan,X-Trail,2012,Automatic,Diesel,187492.0,Biru,Makassar,86100000
Honda,HR-V,2021,Manual,Bensin,68654.0,Silver,Jakarta,206700000
Suzuki,Carry,2020,Manual,Bensin,136739.0,Merah,Jakarta,76300000
Honda,CR-V,2022,Manual,Bensin,35063.0,Merah,Makassar,320500000
Toyota,Innova,2019,Automatic,Diesel,132539.0,Biru,Bandung,192600000
Honda,CR-V,2010,Automatic,Bensin,255158.0,Silver,Surabaya,62900000
Honda,Jazz,2021,Manual,Bensin,41315.0,Hitam,Bandung,148700000
Mitsubishi,Xpander,2017,Automatic,Bensin,85893.0,Biru,Surabaya,106600000
Toyota,Yaris,2012,Manual,Bensin,161733.0,Putih,Yogyakarta,42400000
Honda,City,2021,Automatic,Bensin,74255.0,Hitam,Surabaya,235100000
Honda,HR-V,2011,Automatic,Bensin,139044.0,Merah,Medan,64100000
Toyota,Yaris,2015,Manual,Bensin,137905.0,Merah,Makassar,62300000
Toyota,Innova,2008,Automatic,Bensin,164108.0,Putih,Semarang,43400000
BMW,Seri 5,2020,Automatic,Bensin,58372.0,Hitam,Bali,584700000
Mitsubishi,Triton,2022,Manual,Diesel,59427.0,Abu-abu,Surabaya,316700000
Suzuki,Baleno,2021,Manual,Bensin,77103.0,Abu-abu,Makassar,143000000
Toyota,Rush,2013,Manual,Bensin,252819.0,Hitam,Surabaya,44200000
Toyota,Avanza,2023,Automatic,Bensin,1232.0,Abu-abu,Bali,194800000
Suzuki,Ertiga,2011,Manual,Bensin,131072.0,Biru,Yogyakarta,37800000
Daihatsu,Sigra,2016,Manual,Diesel,147165.0,Hitam,Semarang,43100000
Toyota,Yaris,2017,Automatic,Bensin,110889.0,Biru,Semarang,79400000
Suzuki,Baleno,2017,Automatic,Bensin,109206.0,Biru,Makassar,77600000
Toyota,Rush,2009,Manual,Bensin,203876.0,Merah,Makassar,29300000
Nissan,Livina,2019,Manual,Bensin,44339.0,Merah,Surabaya,103500000
Toyota,Fortuner,2012,Automatic,Diesel,98753.0,Biru,Yogyakarta,102200000
Daihatsu,Ayla,2015,Manual,Bensin,157038.0,Silver,Jakarta,32300000
Toyota,Calya,2008,Manual,Bensin,200212.0,Biru,Medan,16000000
Nissan,Livina,2013,Manual,Bensin,166793.0,Putih,Yogyakarta,39800000
Honda,BR-V,2011,Matic,Bensin,181608.0,Abu-abu,Bandung,39100000
Suzuki,Ertiga,2010,Manual,,,,Bandung,32400000
Mercedes-Benz,C-Class,2013,Automatic,Bensin,102156.0,Putih,Bandung,208500000
Suzuki,Baleno,2011,Manual,Bensin,55370.0,Biru,Makassar,38400000
Mercedes-Benz,C-Class,2012,Matic,Bensin,267305.0,Silver,Surabaya,148600000
Suzuki,Baleno,2013,Manual,Bensin,180517.0,Abu-abu,Semarang,43100000
Nissan,Grand Livina,2018,Automatic,Bensin,58895.0,Putih,Jakarta,93400000
Honda,HR-V,2023,Manual,Bensin,27794.0,Merah,Jakarta,282500000
Toyota,Avanza,2020,Automatic,Bensin,72188.0,Putih,Bandung,128300000
BMW,X5,2011,Matic,Diesel,294804.0,Silver,Surabaya,238800000
Daihatsu,Terios,2012,Manual,Bensin,210157.0,Putih,Surabaya,38000000
Toyota,Calya,2020,Manual,Bensin,75240.0,Biru,Semarang,95100000
Toyota,Avanza,2020,,,,,Bali,121200000
BMW,X5,2010,Automatic,Bensin,212042.0,Hitam,Bandung,212100000
Daihatsu,Xenia,2011,Automatic,Bensin,156295.0,Abu-abu,Jakarta,32700000
Toyota,Agya,2020,Automatic,,,,Yogyakarta,78300000
Toyota,Yaris,2010,Manual,Bensin,180665.0,Merah,Bali,30600000
Honda,Mobilio,2012,Manual,Bensin,189882.0,Abu-abu,Bandung,31200000
Nissan,X-Trail,2015,Automatic,Bensin,168871.0,Hitam,Surabaya,126000000
Mitsubishi,Triton,2009,Manual,Diesel,232515.0,Abu-abu,Jakarta,41400000
Mercedes-Benz,C-Class,2022,Automatic,Bensin,50134.0,Hitam,Semarang,642600000
Honda,BR-V,2022,Automatic,Bensin,55787.0,Putih,Medan,197200000
Toyota,Fortuner,2021,Manual,Bensin,69163.0,Abu-abu,Jakarta,296400000
Honda,Jazz,2009,MT,Bensin,126048.0,Abu-abu,Semarang,28600000
Toyota,Innova,2018,Manual,Bensin,100145.0,Merah,Makassar,151400000
Toyota,Fortuner,2022,Automatic,Bensin,72154.0,Hitam,Jakarta,434900000
Honda,HR-V,2014,Manual,Bensin,202167.0,Silver,Makassar,78500000
BMW,X5,2019,Automatic,Bensin,48370.0,Silver,Yogyakarta,663400000
Toyota,Calya,2020,Manual,Bensin,65109.0,Hitam,Medan,92600000
Toyota,Calya,2017,Manual,Bensin,82327.0,Silver,Jakarta,55000000
BMW,Seri 3,2022,Manual,Bensin,48471.0,Biru,Surabaya,566800000
Honda,Mobilio,2016,Manual,Bensin,126503.0,Silver,Bandung,61000000
Honda,City,2008,Manual,Bensin,313385.0,Hitam,Semarang,28300000
Suzuki,Baleno,2021,Manual,Bensin,69743.0,Hitam,Jakarta,157600000
Mercedes-Benz,E-Class,2021,Manual,Bensin,104331.0,Putih,Jakarta,716500000
Honda,Brio,2010,Manual,,,,Jakarta,18000000
Mitsubishi,Triton,2015,Automatic,Diesel,85277.0,Silver,Yogyakarta,133100000
Toyota,Innova,2012,Automatic,Bensin,130846.0,Silver,Surabaya,70500000
Toyota,Agya,2019,Manual,Bensin,94035.0,Merah,Bandung,67000000
Suzuki,Ignis,2014,Manual,Bensin,166736.0,Hitam,Surabaya,35700000
Honda,Jazz,2009,Matic,Bensin,392876.0,Abu-abu,Bali,22700000
Nissan,Livina,2021,MT,Bensin,77807.0,Hitam,Bandung,117800000
Toyota,Rush,2099,MT,Bensin,102925.0,Silver,Surabaya,96000000
Suzuki,Baleno,2009,Manual,Bensin,191427.0,Abu-abu,Surabaya,30000000
BMW,Seri 3,2017,Automatic,Bensin,174184.0,Putih,Jakarta,304200000
Nissan,Livina,2022,Manual,Diesel,64315.0,Putih,Medan,159700000
Honda,CR-V,2015,Automatic,Diesel,86208.0,Abu-abu,Semarang,146800000
Honda,Brio,2014,Automatic,Bensin,197803.0,Abu-abu,Makassar,36200000
Mitsubishi,Pajero Sport,2010,Matic,Diesel,143016.0,Merah,Semarang,74900000
Honda,Mobilio,2012,Automatic,Bensin,93336.0,Putih,Yogyakarta,40500000
Toyota,Rush,2014,Manual,Bensin,161497.0,Silver,Bandung,62800000
Honda,BR-V,2014,Manual,Bensin,109591.0,Hitam,Surabaya,59000000
Honda,CR-V,2021,Manual,Bensin,36961.0,Merah,Bandung,323400000
Toyota,Rush,2011,Manual,Bensin,184015.0,Hitam,Semarang,33000000
Toyota,Agya,2008,Manual,Bensin,188257.0,Silver,Jakarta,15200000
Toyota,Rush,2020,Manual,Bensin,82825.0,Silver,Bali,134900000
Suzuki,Baleno,2010,Manual,Bensin,233667.0,,Bali,32400000
Honda,BR-V,2023,Automatic,Bensin,15685.0,Silver,Bali,251800000
Honda,BR-V,2010,Manual,Bensin,250296.0,Silver,Semarang,32900000
Mitsubishi,Triton,2020,,,,,Bali,221700000
Toyota,Agya,2021,Manual,Bensin,55863.0,Abu-abu,Yogyakarta,88000000
Suzuki,Carry,2021,MT,Bensin,38941.0,Merah,Semarang,100000000
Toyota,Avanza,2013,Manual,Bensin,178815.0,Abu-abu,Yogyakarta,35500000
Honda,HR-V,2014,Manual,Bensin,68947.0,Putih,Makassar,89100000
Honda,BR-V,2020,Automatic,Bensin,47452.0,Putih,Yogyakarta,154100000
Daihatsu,Sigra,2020,Automatic,Bensin,70973.0,Merah,Semarang,90500000
Toyota,Yaris,2022,Automatic,Bensin,47647.0,Putih,Semarang,154200000
Suzuki,Ignis,2015,Manual,Bensin,126250.0,Hitam,Surabaya,49200000
Honda,BR-V,2021,MT,Bensin,51764.0,Silver,Yogyakarta,149400000
Mercedes-Benz,C-Class,2012,Automatic,Bensin,187477.0,Biru,Yogyakarta,176100000
Mercedes-Benz,GLA,2008,Automatic,Bensin,248484.0,Biru,Bali,71000000
Honda,CR-V,2008,Matic,Bensin,316153.0,Merah,Medan,38800000
Daihatsu,Sigra,2023,Manual,Bensin,34177.0,Merah,Medan,139700000
Daihatsu,Sigra,2020,MT,Bensin,68521.0,Hitam,Bali,86600000
Honda,Jazz,2011,Manual,Bensin,182240.0,Biru,Medan,34100000
Daihatsu,Gran Max,2017,Manual,Bensin,59131.0,Putih,Surabaya,62100000
Suzuki,XL7,2018,Automatic,Bensin,134378.0,Biru,Bali,100800000
Mitsubishi,Triton,2014,Manual,Bensin,129805.0,Abu-abu,Jakarta,86000000
Toyota,Calya,2014,Manual,Bensin,184042.0,Hitam,Medan,28800000
Toyota,Rush,2019,Automatic,Bensin,79946.0,Hitam,Semarang,119700000
Mitsubishi,Xpander,2010,Manual,Bensin,205254.0,Merah,Medan,28900000
Mercedes-Benz,E-Class,2019,Matic,Bensin,108339.0,Putih,Semarang,600400000
Mitsubishi,Triton,2018,Automatic,Bensin,69748.0,Abu-abu,Jakarta,177600000
BMW,Seri 5,2022,Automatic,Bensin,34181.0,Abu-abu,Surabaya,933900000
Toyota,Yaris,2010,Manual,Bensin,144970.0,Merah,Bali,28300000
Toyota,Avanza,2016,Manual,Diesel,149654.0,Abu-abu,Jakarta,73700000
Honda,HR-V,2023,Automatic,Bensin,38264.0,Merah,Bandung,320800000
Suzuki,Baleno,2008,Manual,Bensin,238697.0,Abu-abu,Jakarta,21100000
Mitsubishi,Xpander,2022,Manual,Diesel,44205.0,Putih,Semarang,206600000
Suzuki,Ignis,2008,MT,Bensin,280505.0,Merah,Medan,14700000
Toyota,Calya,2017,Automatic,Bensin,147681.0,Hitam,Jakarta,61700000
Daihatsu,Sigra,2008,Manual,Bensin,250298.0,Biru,Semarang,15400000
Toyota,Avanza,2013,Manual,Bensin,246738.0,Abu-abu,Medan,34700000
Toyota,Innova,2019,Automatic,Bensin,51605.0,Biru,Medan,160400000
Nissan,X-Trail,2008,MT,Bensin,205578.0,Putih,Surabaya,41400000
Toyota,Innova,2023,Automatic,Bensin,13025.0,Silver,Makassar,285600000
Suzuki,Carry,2014,Manual,Bensin,113882.0,Putih,Yogyakarta,34500000
Daihatsu,Xenia,2008,Automatic,Bensin,244951.0,Biru,Medan,19200000
Daihatsu,Sigra,2008,Automatic,Bensin,194608.0,Biru,Medan,15300000
Suzuki,XL7,2019,Manual,Bensin,50037.0,Putih,Jakarta,129800000
Daihatsu,Sigra,2015,Manual,Bensin,145656.0,Abu-abu,Semarang,35700000
Mitsubishi,Pajero Sport,2008,Automatic,Bensin,347682.0,Biru,Surabaya,50200000
Suzuki,Baleno,2022,Manual,Bensin,29446.0,Putih,Bandung,154100000
Toyota,Innova,2011,Manual,Diesel,261879.0,Hitam,Surabaya,54800000
BMW,Seri 5,2022,Automatic,Bensin,54068.0,Putih,Bandung,754300000
Honda,HR-V,2019,Automatic,Bensin,81069.0,Putih,Medan,169800000
Suzuki,Ertiga,2010,Manual,Bensin,112261.0,Putih,Yogyakarta,30900000
Toyota,Fortuner,2010,Manual,Diesel,190544.0,Hitam,Bali,68100000
Honda,Brio,2022,Manual,Bensin,52118.0,Abu-abu,Makassar,123200000
Honda,CR-V,2008,Manual,Bensin,202306.0,Hitam,Surabaya,50900000
Nissan,Grand Livina,2013,Manual,Bensin,190626.0,Abu-abu,Bali,36500000
Toyota,Agya,2013,Manual,Bensin,158828.0,Biru,Bandung,29400000
Mitsubishi,Triton,2012,Manual,Diesel,76825.0,Putih,Makassar,72500000
Daihatsu,Ayla,2010,Matic,Bensin,183676.0,Abu-abu,Jakarta,20700000
Suzuki,Carry,2021,Manual,Bensin,84162.0,Silver,Medan,90500000
Daihatsu,Gran Max,2014,Automatic,Bensin,213855.0,,Semarang,32200000
Daihatsu,Sigra,2020,Manual,Bensin,74232.0,Abu-abu,Yogyakarta,92900000
Toyota,Agya,2020,Manual,Diesel,100670.0,Merah,Medan,77500000
Toyota,Agya,2011,Manual,Bensin,274089.0,Hitam,Bali,20800000
Daihatsu,Sigra,2008,Automatic,Diesel,200012.0,Merah,Jakarta,17900000
Toyota,Yaris,2023,Manual,Diesel,,,Semarang,214300000
Toyota,Calya,2020,Manual,Bensin,80756.0,Abu-abu,Bandung,91000000
Toyota,Innova,2023,Automatic,,,,Surabaya,332300000
Honda,Mobilio,2008,Automatic,Bensin,387628.0,Hitam,Yogyakarta,15900000
Suzuki,XL7,2016,Manual,Bensin,113939.0,Silver,Surabaya,84800000
Toyota,Calya,2015,Automatic,Bensin,132597.0,Merah,Medan,46200000
Toyota,Avanza,2015,Automatic,Bensin,123400.0,Silver,Bandung,61700000
Honda,CR-V,2011,Automatic,Bensin,164455.0,Hitam,Semarang,74300000
Suzuki,Carry,2009,Manual,Bensin,125112.0,Biru,Bali,18700000
BMW,X5,2020,Automatic,Bensin,36834.0,Abu-abu,Surabaya,858300000
Suzuki,Baleno,2010,Automatic,Bensin,178492.0,Putih,Bali,32200000
Toyota,Agya,2010,Manual,Bensin,233038.0,Putih,Makassar,17700000
BMW,X5,2010,Automatic,Bensin,260861.0,Hitam,Jakarta,188200000
Suzuki,Ertiga,2010,Matic,Bensin,211196.0,Silver,Makassar,30900000
Honda,Brio,2019,Automatic,Bensin,90879.0,Biru,Yogyakarta,78600000
Toyota,Agya,2017,Manual,Bensin,169430.0,Biru,Semarang,45400000
Mitsubishi,Pajero Sport,2021,Automatic,Bensin,52067.0,Silver,Bali,423800000
Suzuki,Carry,2010,Manual,Bensin,180789.0,Merah,Jakarta,18900000
Toyota,Rush,2012,Manual,Bensin,215079.0,Biru,Surabaya,40700000
BMW,Seri 3,2020,Automatic,Bensin,56210.0,Hitam,Semarang,472400000
Toyota,Agya,2023,Automatic,Bensin,,,Bandung,135900000
Honda,City,2017,Manual,Bensin,136119.0,Merah,Jakarta,114000000
Toyota,Rush,2015,Manual,Bensin,76775.0,Putih,Yogyakarta,75900000
Honda,Jazz,2022,Automatic,Bensin,46348.0,Biru,Jakarta,198200000
Honda,CR-V,2020,Manual,Diesel,30038.0,Abu-abu,Surabaya,267700000
Toyota,Calya,2018,Manual,Bensin,69029.0,Biru,Jakarta,67800000
Honda,City,2022,Manual,Bensin,46639.0,Silver,Medan,220200000
Suzuki,Ertiga,2019,Automatic,Bensin,73062.0,Merah,Medan,116000000
BMW,X5,2017,MT,Bensin,126325.0,Putih,Surabaya,533100000
Daihatsu,Ayla,2022,Automatic,Bensin,,,Surabaya,107300000
Daihatsu,Xenia,2014,Automatic,Bensin,77492.0,Silver,Bandung,50900000
Honda,CR-V,2016,Automatic,Bensin,184030.0,Biru,Surabaya,157400000
Mercedes-Benz,E-Class,2010,Manual,Bensin,238430.0,Merah,Jakarta,139100000
Suzuki,Ertiga,2021,Manual,Bensin,32903.0,Putih,Yogyakarta,146400000
Mitsubishi,Xpander,2019,Manual,Bensin,133049.0,Abu-abu,Bandung,109500000
Honda,CR-V,2016,Automatic,Bensin,123240.0,Putih,Bandung,132100000
Honda,BR-V,2008,,,,,Bandung,23100000
Honda,Brio,2020,Automatic,Bensin,79879.0,Biru,Bali,91200000
Suzuki,XL7,2014,Automatic,Bensin,153077.0,Silver,Yogyakarta,61400000
